EURUSD Spot Exchange Rate,1.1195,2017-06-11 12:00:03.539362
EURGBP Spot Exchange Rate,0.87818,2017-06-11 12:00:03.539362
EURCHF Spot Exchange Rate,1.08549,2017-06-11 12:00:03.539362
EURUSD Spot Exchange Rate,1.1205,2017-06-12 00:00:13.905865
EURGBP Spot Exchange Rate,0.88009,2017-06-12 00:00:13.905865
EURCHF Spot Exchange Rate,1.08584,2017-06-12 00:00:13.905865
EURUSD Spot Exchange Rate,1.1219,2017-06-12 12:00:12.189945
EURGBP Spot Exchange Rate,0.88363,2017-06-12 12:00:12.189945
EURCHF Spot Exchange Rate,1.08544,2017-06-12 12:00:12.189945

